Boľ,Trebišov,Košický,705
Boldog,Senec,Bratislavský,431
Boleráz,Trnava,Trnavský,"2,106"
Bolešov,Ilava,Trenčiansky,"1,503"
Boliarov,Košice - okolie,Košický,682
Boľkovce,Lučenec,Banskobystrický,653
Borcová,Turčianske Teplice,Žilinský,377
Borčany,Bánovce nad Bebravou,Trenčiansky,249
Borčice,Ilava,Trenčiansky,379
Borinka,Malacky,Bratislavský,557
Borová,Trnava,Trnavský,377
Borovce,Piešťany,Trnavský,984
Borský Mikuláš,Senica,Trnavský,"3,905"
Borský Svätý Jur,Senica,Trnavský,"1,566"
Borša,Trebišov,Košický,"1,242"
Bory,Levice,Nitriansky,316
Bošáca,Nové Mesto nad Váhom,Trenčiansky,"1,374"
Bošany,Partizánske,Trenčiansky,"4,267"
Boťany,Trebišov,Košický,"1,283"
Bottovo,Rimavská Sobota,Banskobystrický,214
Bôrka,Rožňava,Košický,480
Bracovce,Michalovce,Košický,932
Branč,Nitra,Nitriansky,"2,141"
Branovo,Nové Zámky,Nitriansky,573
Bratislava - Čunovo - Mestská časť,Bratislava V,Bratislavský,936
Bratislava - Devín - Mestská časť,Bratislava IV,Bratislavský,"1,04"
Bratislava - Devínska Nová Ves - Mestská časť,Bratislava IV,Bratislavský,"15,948"
Bratislava - Dúbravka - Mestská časť,Bratislava IV,Bratislavský,"34,405"
Bratislava,Bratislava,Bratislavský,"426,927"
Bratislava - Jarovce - Mestská časť,Bratislava V,Bratislavský,"1,296"
