919 27 Dolné Lovčice (TT)
962 41 Dolné Mladonice (KA)
913 26 Dolné Motešice (TN)
957 01 Dolné Naštice (BN)
951 02 Dolné Obdokovce (NR)
919 02 Dolné Orešany (TT)
920 61 Dolné Otrokovce (HC)
957 01 Dolné Ozorovce (BN)
991 24 Dolné Plachtince (VK)
991 25 Dolné Príbelce (VK)
962 55 Dolné Rykynčice (KA)
925 02 Dolné Saliby (GA)
935 85 Dolné Semerovce (LV)
951 71 Dolné Sľažany (ZM)
916 41 Dolné Srnie (NM)
991 03 Dolné Strháre (VK)
920 61 Dolné Trhovište (HC)
935 81 Dolné Turovce (LV)
972 23 Dolné Vestenice (PD)
985 42 Dolné Zahorany (RS)
920 52 Dolné Zelenice (HC)
962 51 Dolný Badín (KA)
930 14 Dolný Bar (DS)
935 34 Dolný Ďur (LV)
976 03 Dolný Harmanec (BB)
013 41 Dolný Hričov (ZA)
925 41 Dolný Chotár (GA)
962 41 Dolný Jalšovík (KA)
941 09 Dolný Jatov (NZ)
976 02 Dolný Jelenec (BB)
038 02 Dolný Kalník (MT)
026 01 Dolný Kubín (DK)
072 13 Dolný Les (MI)
018 21 Dolný Lieskov (PB)
922 04 Dolný Lopašov (PN)
017 01 Dolný Moštenec (PB)
941 43 Dolný Ohaj (NZ)
935 37 Dolný Pial (LV)
059 81 Dolný Smokovec (PP)
930 10 Dolný Štál (DS)
027 44 Dolný Štefanov (TS)
962 75 Dolný Tisovník (DT)
038 48 Dolný Turček (TR)
023 45 Dolný Vadičov (KM)
951 06 Dolný Vinodol (NR)
900 44 Doma (SC)
935 87 Domadice (LV)
962 65 Domaníky (KA)
018 16 Domaniža (PB)
053 02 Domaňovce (LE)
935 61 Domaša (LV)
976 39 Donovaly (BB)
985 41 Dora (LC)
033 01 Dovalovo (LM)
976 53 Drábsko (BR)
076 74 Drahňov (MI)
022 01 Drahošanka (CA)
922 41 Drahovce (PN)
053 14 Dravce (LE)
980 23 Dražice (RS)
038 02 Dražkovce (MT)
949 01 Dražovce (NR)
962 68 Drážovce (KA)
090 23 Driečna (SP)
980 23 Drienčany (RS)
083 01 Drienica (SB)
082 04 Drienov (PO)
044 01 Drienovec (KS)
962 51 Drienovo (KA)
